Nazwa przedmiotu	Rok studiów	Prowadzący	Limit miejsc	Forma zaliczenia sem. zimowy	Forma zaliczenia sem. letni	Liczba godzin sem. zimowy	Liczba godzin sem. letni	ECTS semestr zimowy	ECTS semestr letni	ECTS łącznie	Wydział	Jednostka	Dzień tygodnia	Godzina rozpoczęcia	Godzina zakończenia	Sala	Dodatkowe informacje o zaliczeniu	Uwagi	Semestr
Etiudy sceniczna (grupa 1)	1L	mgr Aleksandra Dytko-Masztalska	4	zst	zst	2	2	1	1	2	III		czwartek 	14:30	16:00	301A			
Etiudy sceniczna (grupa 2)	1L	mgr Aleksandra Dytko-Masztalska	4	zst	zst	2	2	1	1	2	III		czwartek 	16:00	17:30	301A			
Etiudy sceniczna (grupa 1)	2L	mgr Aleksandra Dytko-Masztalska	4	zst	egz	2	2	1	1	2	III		środa	14:00	15:30	301A			
Etiudy sceniczna (grupa 2)	2L	mgr Aleksandra Dytko-Masztalska	4	zst	egz	2	2	1	1	2	III		środa	15:30	17:00	301A			
Specjalistyczna literatura pieśniarska i oratoryjno kantatowa	2L	mgr Karolina Gołębiowska	2	zst	egz	2	2	2	2	4	III		wtorek	09:00	10:30	002E			
Specjalistyczna literatura pieśniarska i oratoryjno kantatowa	3L	mgr Karolina Gołębiowska	2	zst	egz	2	2	2	2	4	III		czwartek	09:00	10:30	002E			
Zarys stylistyki muzyki dawnej	3L	dr hab. Olga Ksenicz	4	zst	egz	1	1	1	1	2	III		wtorek	14:35	15:20	002E			
Ilustracja muzyczna - praca w klasie akompaniamentu	1M	koordynacja przedmiotu - prof. AMKL dr hab Anna Gągola		zal	zal	0,5	0,5	1	1	2	III								
Specjalistyczna literatura operowa	1M	mgr Karolina Gołębiowska	4	zst	egz	2	2	2	2	4	III		termin ustali prowadzący	10:40	12:10	002E			
Sceny aktorskie (grupa 1)	1M	mgr Aleksandra Dytko	2	zst	egz	2	2	1	1	2	III		wtorek	10:00	11:30	301A			
Sceny aktorskie (grupa 2)	1M	mgr Aleksandra Dytko	2	zst	egz	2	2	1	1	2	III		wtorek	11:30	13:00	301A			
Łacina 	1M	dr Bogusława Frontczak	6	zst	zst	1	1	1	1	2	III		piątek	13:15	14:00				
Retoryka i zdobnictwo	1M	dr hab. Olga Ksenicz	2	x	zst	x	2	x	2	2	III		wtorek	13:00	14:30				
Zespoły wokalno-instrumentalne	1/2M	prof. dr hab. Andrzej Kosendiak/mgr Adrianna Gołos wymagana akceptacja Kierownika Katedry Wokalistyki i pedagoga prowadzącego przedmiot		zst	zst	3	3	4	4	8	III		poniedziałek	14:00	16:15	203F			
Chorał gregoriański	1M	mgr Łukasz Czartowski	4	zst	egz	1	1	1	1	2	III		wtorek	12:00	12:45	203F			
Temperacje historyczne	2M	dr hab. Tomasz Głuchowski	4	zst	x	2	x	1	x	1	III		poniedziałek	09:30	11:00	103/104A			
Analiza dzieła muzycznego 1  (grupa 1)	1L	dr Agnieszka Zwierzycka	4	zst	zst	2	2	2	2	4	IV		czwartek	13:05	14:35	001F			
Analiza dzieła muzycznego 1  (grupa 2)	1L	dr Agnieszka Zwierzycka	4	zst	zst	2	2	2	2	4	IV		czwartek	14:45	16:15	001F			
Analiza dzieła muzycznego 2	2L	dr Agnieszka Zwierzycka	8	zst	zst	2	2	2	2	4	IV		środa	13:00	14:30	001F			
Chorał gregoriański	2L	o.dr R. Tomczak	2	zst	egz	1	1	1	1	2	IV		poniedziałek	11:00	11:45	114A			
Chór Feichtinum - pierwszy dzień prób	wszystkie lata	dr hab. Artur Wróbel, prof. AMKL/ mgr Magdalena Wojtas	b. o.	zst	zst	4	4	4	4	8	IV		wtorek	10:30	12:00	102E			
Chór Feichtinum - drugi dzień prób	wszystkie lata	dr hab. Artur Wróbel, prof. AMKL/ mgr Magdalena Wojtas	b. o.	zst	zst	4	4	4	4	8	IV		środa	11:30	13:00	102E			
Chór Kameralny - pierwszy dzień prób	wszystkie lata	prof. dr hab. Jolanta Szybalska-Matczak/wykł. Kacper Kubiak	b. o.	zst	zst	4	4	4	4	8	IV		poniedziałek	18:00	19:30	001B			
Chór Kameralny - drugi dzień prób	wszystkie lata	prof. dr hab. Jolanta Szybalska-Matczak/wykł. Kacper Kubiak	b. o.	zst	zst	4	4	4	4	8	IV		środa	19:00	20:30	001B			
Diagnoza potrzeb w środowiskach lokalnych	1L	mgr A. Szymańska	6	-	zst	-	1	-	2	2	IV		czwartek	11:15	12:00	114A			
Folklor	3L	dr Agnieszka Zwierzycka	3	zal	zst	1	1	1	1	2	IV		środa	12:10	12:55	001F			
Komunikacja wizerunkowa i strategie komunikacyjne w mediach	1M	mgr Maciej Wojciechowski	6	-	zst	-	2	-	3	3	IV		czwartek	15:00	16:30	101B			
